id,User Story,domain_refair,domain_gabarito,domain_ok,domain_confidence,ml_tasks_refair,ml_labels_gabarito,ml_task_vazio_refair,features_refair,features_gabarito
A1US5Ll,"As a business owner, I want to explore the new market opportunities and revenue streams that Autonomous Vehicles (AVs) c",Biology,Transportation,ERRO,High,,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,geography; race
A1US6Ll,"As a fleet manager, I want to reduce fuel consumption and emissions by using Autonomous Vehicles (AVs), so that I can mi",Literature,Transportation,ERRO,High,clustering,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,author; gender; textual references to people and their demographics,geography; race
A1US7Ll,"As a passenger, I want to enjoy the increased comfort and convenience of Autonomous Vehicles (AVs), including the releas",Literature,Transportation,ERRO,High,,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,geography; race
A1US8Ll,"As a developer, I want to design and develop AI-powered Autonomous Vehicles (AVs) that can process large- scale data fro",Medicine,Transportation,ERRO,High,,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,geography; race
A1US9Ll,"As a regulator, I want to ensure that Autonomous Vehicles (AVs) meet the highest safety standards and are tested rigorou",Biology,Transportation,ERRO,High,,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,geography; race
A1US10Ll,"As a commuter, I want to benefit from the reduced traffic congestion and parking needs that Autonomous Vehicles (AVs) ca",Biology,Transportation,ERRO,High,classification,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,,geography; race
A1US1O1,"As a passenger, I want the AV to detect hazards in real-time using AI sensors, so that my safety is ensured.",Literature,Transportation,ERRO,High,,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,geography; race
A1US2O1,"As a fleet manager, I want to monitor AV performance data via IoT, so that I can proactively manage maintenance.",Literature,Transportation,ERRO,High,ranking,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,gender,geography; race
A1US3O1,"As a driver, I want the AV to predict and prevent collisions using AI, so that accidents are significantly reduced.",News,Transportation,ERRO,High,bias detection in word embeddings; clustering; ranking,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,textual references to people and their demographics; author; geography; news provider,geography; race
A1US4O1,"As a transportation executive, I want the AV to optimize fuel consumption with AI, so that operational costs are minimiz",Transportation,Transportation,OK,High,,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,geography; race
A1US5O1,"As a passenger, I want the AV to navigate autonomously through traffic using AI and IoT, so that my travel is seamless a",Literature,Transportation,ERRO,High,,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,geography; race
A1US6O1,"As a commuter, I want the AV to handle driving tasks autonomously, so that I can use my travel time productively.",Biology,Transportation,ERRO,High,classification,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,,geography; race
A1US7O1,"As an environmental advocate, I want the AV to reduce emissions through AI-optimized routes, so that it contributes to a",Education,Transportation,ERRO,High,data summarization,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,age; caste; gender; geography; race; sex,geography; race
A1US8O1,"As a software engineer, I want the AV to efficiently process large-scale sensor data using AI and IoT, so that it makes ",Literature,Transportation,ERRO,High,,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,geography; race
A1US9O1,"As a business strategist, I want to leverage AI and IoT in AVs to explore new market opportunities, so that the company ",Biology,Transportation,ERRO,High,,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,geography; race
A1US10O1,"As a network administrator, I want the AV to maintain low- latency connectivity through IoT, so that it can communicate ",Computer Networks,Transportation,ERRO,High,,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,geography; race
A2US1Ge,"As a parent, I want a device that can track my child's physical activity and potentially identify aggressive episodes so",Music,Psychology,ERRO,Medium,,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Sim,,age; geography; ethnicity; gender
A2US2Ge,"As a teacher, I want a tool that can discreetly monitor student activity levels in the classroom and alert me to potenti",News,Psychology,ERRO,Medium,bias detection in word embeddings; clustering; ranking,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Não,textual references to people and their demographics; author; geography; news provider,age; geography; ethnicity; gender
A2US3Ge,"As a therapist working with aggressive children, I want objective data on their physical activity patterns to track prog",Biology,Psychology,ERRO,Medium,,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Sim,,age; geography; ethnicity; gender
A2US4Ge,"As a researcher studying childhood aggression, I want access to a non- invasive method for collecting real-time data on ",Health,Psychology,ERRO,Medium,,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Sim,,age; geography; ethnicity; gender
A2US5Ge,"As a school administrator, I want a system that helps identify students at risk of aggressive behavior so that I can imp",Movies,Psychology,ERRO,Medium,representation learning,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Não,age; gender,age; geography; ethnicity; gender
A2US6Ge,"As a child with a history of aggression, I want a wearable device that helps me and my parents monitor my activity level",News,Psychology,ERRO,Medium,bias detection in word embeddings; clustering,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Não,textual references to people and their demographics; author; geography,age; geography; ethnicity; gender
A2US7Ge,"As a healthcare provider working with children with ADHD, I want a tool that can differentiate between ADHD- related hyp",Health,Psychology,ERRO,Medium,regression,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Não,age; ethnicity; gender; geography; sex,age; geography; ethnicity; gender
A2US8Ge,"As a developer of wearable technology for children, I want to integrate machine learning models for aggression detection",Biology,Psychology,ERRO,Medium,,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Sim,,age; geography; ethnicity; gender
A2US9Ge,"As a data privacy advocate, I want assurances that any wearable device used for aggression detection collects data secur",Linguistics,Psychology,ERRO,Medium,,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Sim,,age; geography; ethnicity; gender
A2US10Ge,"As a policymaker, I want to explore the potential of wearable-based aggression detection for early intervention programs",Finance & Marketing,Psychology,ERRO,Medium,anomaly detection,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Não,age; gender; race; sex,age; geography; ethnicity; gender
A2US1Ll,"As a researcher, I want to develop an objective method to track physical- aggressive incidents in children, so that I ca",Biology,Psychology,ERRO,Medium,,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Sim,,age; geography; ethnicity; gender
A2US2Ll,"As a parent, I want to know if my child is experiencing aggressive episodes, so that I can provide support and guidance ",Music,Psychology,ERRO,Medium,,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Sim,,age; geography; ethnicity; gender
A2US3Ll,"As a clinician, I want to use wearable-sensor- derived physical activity data to identify patterns that distinguish phys",Medicine,Psychology,ERRO,Medium,classification; classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Não,age; race; sex; ethnicity; gender,age; geography; ethnicity; gender
A2US4Ll,"As a data analyst, I want to apply machine learning techniques (e.g., random forest) to analyze physical activity data a",Biology,Psychology,ERRO,Medium,classification; graph mining,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Não,,age; geography; ethnicity; gender
A2US5Ll,"As a researcher, I want to collect demographic, anthropometric, and clinical data from participants to better understand",Biology,Psychology,ERRO,Medium,classification; graph mining,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Não,,age; geography; ethnicity; gender
A2US6Ll,"As a developer, I want to design a wearable device (e.g., waist-worn activity monitor) that can track physical activity ",Movies,Psychology,ERRO,Medium,data summarization; ranking; representation learning,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Não,age; gender,age; geography; ethnicity; gender
A2US7Ll,"As a parent, I want to receive alerts and notifications when my child experiences a physical-aggressive incident, so tha",Biology,Psychology,ERRO,Medium,classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Não,,age; geography; ethnicity; gender
A2US8Ll,"As a researcher, I want to investigate the effectiveness of the machine learning model in distinguishing physical aggres",Biology,Psychology,ERRO,Medium,classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Não,,age; geography; ethnicity; gender
A2US9Ll,"As a clinician, I want to use the sensor-derived feature of vector magnitude (faster triaxial acceleration) to identify ",Biology,Psychology,ERRO,Medium,classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Não,,age; geography; ethnicity; gender
A2US10Ll,"As a system designer, I want to design a scalable and efficient system for remotely detecting and managing aggressive in",Biology,Psychology,ERRO,Medium,,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Sim,,age; geography; ethnicity; gender
A2US1O1,"As a parent, I want to receive real-time alerts when my child shows aggressive behavior, so I can intervene immediately.",Music,Psychology,ERRO,Medium,,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Sim,,age; geography; ethnicity; gender
A2US2O1,"As a teacher, I want daily reports on students' aggression levels from wearable sensors, so I can implement effective cl",News,Psychology,ERRO,Medium,bias detection in word embeddings; clustering; ranking,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Não,textual references to people and their demographics; author; geography; news provider,age; geography; ethnicity; gender
A2US3O1,"As a clinician, I want access to detailed logs of a child's aggressive incidents, so I can create personalized intervent",Medicine,Psychology,ERRO,Medium,,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Sim,,age; geography; ethnicity; gender
A2US4O1,"As a researcher, I want to analyze aggregated sensor data from multiple participants, so I can study the triggers of agg",Medicine,Psychology,ERRO,Medium,,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Sim,,age; geography; ethnicity; gender
A2US5O1,"As a school administrator, I want to monitor overall aggression data across the school, so I can develop policies to enh",Movies,Psychology,ERRO,Medium,representation learning,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Não,age; gender,age; geography; ethnicity; gender
A2US6O1,"As a child with ADHD, I want to wear a comfortable activity monitor, so my behavior is tracked without feeling uncomfort",Health,Psychology,ERRO,Medium,representation learning,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Não,age; ethnicity; gender; geography; sex,age; geography; ethnicity; gender
A2US7O1,"As a data scientist, I want the machine learning model to accurately distinguish between aggressive and non-aggressive a",Health,Psychology,ERRO,Medium,classification; representation learning,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Não,age; geography; sex; ethnicity; gender,age; geography; ethnicity; gender
A2US8O1,"As a guardian, I want to view trends of my child's aggression incidents over time, so I can understand and support their",Music,Psychology,ERRO,Medium,,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Sim,,age; geography; ethnicity; gender
A2US9O1,"As a privacy officer, I want all sensor data to be securely stored and access- controlled, so children's privacy is prot",Medicine,Psychology,ERRO,Medium,classification; classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Não,age; race; sex; ethnicity; gender,age; geography; ethnicity; gender
A2US10O1,"As a software developer, I want to integrate sensor data with existing health management systems, so comprehensive suppo",Literature,Psychology,ERRO,Medium,,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Sim,,age; geography; ethnicity; gender
A3US1Ge,"As a social media platform developer, I want a system that can detect aggressive content on my platform in real-time so ",Social Media,Social Media,OK,High,bias detection in language models; bias detection in word embeddings; classification; ranking; sentiment analysis; speech recognition,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,gender; political leaning; race; religion; textual references to people and their demographics; age; geography; disability; race/ethnicity; sexual orientation,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US2Ge,"As a content moderator, I want a tool that identifies potentially aggressive tweets with high accuracy so that I can pri",Literature,Social Media,ERRO,High,,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US3Ge,"As a researcher studying online behavior, I want access to a system that detects aggression on Twitter in real-time so t",Health,Social Media,ERRO,High,,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US4Ge,"As a user who has been targeted by online aggression, I want a platform that can flag aggressive messages so that I can ",Transportation,Social Media,ERRO,High,,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US5Ge,"As a mental health professional, I want to identify individuals who exhibit aggressive behavior online so that I can off",Health,Social Media,ERRO,High,,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US6Ge,"As a brand manager, I want a system that can detect aggressive mentions of my brand on Twitter so that I can address any",Literature,Social Media,ERRO,High,,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US7Ge,"As a journalist, I want a tool that helps me identify potential sources of misinformation and disinformation that are sp",News,Social Media,ERRO,High,,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US8Ge,"As a law enforcement officer, I want a system that can detect real- time threats of violence or harm made on social medi",Biology,Social Media,ERRO,High,classification; graph mining,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US9Ge,"As a developer, I want access to the underlying machine learning model and its training data so that I can integrate thi",Biology,Social Media,ERRO,High,,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US10Ge,"As a person concerned about online harassment, I want a browser extension or mobile app that filters out potentially agg",News,Social Media,ERRO,High,bias detection in word embeddings; clustering; ranking,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,textual references to people and their demographics; author; geography; news provider,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US1Ll,"As a social media platform administrator, I want to detect aggressive behavior on Twitter in real-time, so that I can pr",Social Media,Social Media,OK,High,,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US2Ll,"As a data scientist, I want to develop a machine learning framework that can adapt to new annotated examples and evolve ",Biology,Social Media,ERRO,High,classification,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US3Ll,"As a researcher, I want to compare the performance of our real-time framework with traditional batch- based machine lear",Biology,Social Media,ERRO,High,classification,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US4Ll,"As a system administrator, I want to deploy our framework on a minimal number of commodity machines, so that I can proce",Biology,Social Media,ERRO,High,,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US5Ll,"As a social media user, I want to feel safe online and know that aggressive behavior is being detected and addressed in ",Social Media,Social Media,OK,High,,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US6Ll,"As a content moderator, I want to receive alerts and notifications about detected aggressive behavior, sarcasm, racism, ",Literature,Social Media,ERRO,High,,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US7Ll,"As a developer, I want to integrate our real-time framework with existing social media platforms, so that I can provide ",Medicine,Social Media,ERRO,High,classification; classification,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,age; race; sex; ethnicity; gender,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US8Ll,"As a researcher, I want to analyze the performance of our framework on detecting related behaviors such as sarcasm, raci",Medicine,Social Media,ERRO,High,,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US9Ll,"As a social media platform administrator, I want to use our framework to identify trends and patterns of aggressive beha",Social Media,Social Media,OK,High,,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US10Ll,"As a system designer, I want to design a scalable and flexible architecture for our real-time framework, so that it can ",Law,Social Media,ERRO,High,classification; classification; regression; representation learning,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,age; geography; race; sex; ethnicity; gender,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US1O1,"As a social media moderator, I want real-time alerts of aggressive tweets, so I can promptly address and remove harmful ",Social Media,Social Media,OK,High,bias detection in language models; sentiment analysis,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,gender; political leaning; race; religion; textual references to people and their demographics; age; geography,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US2O1,"As a platform administrator, I want the aggression detection system to scale efficiently with Twitter’s data volume, so ",Literature,Social Media,ERRO,High,,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US3O1,"As a data scientist, I want the machine learning classifiers to adapt incrementally with new data, so the detection accu",Biology,Social Media,ERRO,High,classification,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US4O1,"As a researcher, I want to analyze detected aggression, sarcasm, racism, and sexism in real- time, so I can study trends",Medicine,Social Media,ERRO,High,,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US5O1,"As a user, I want aggressive content to be minimized on my Twitter feed, so my online experience is safer and more posit",Transportation,Social Media,ERRO,High,,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US6O1,"As a compliance officer, I want detailed reports on detected aggressive behavior, so I can ensure the platform adheres t",Plant Science,Social Media,ERRO,High,clustering,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US7O1,"As a developer, I want the framework to integrate seamlessly with existing Twitter infrastructure, so deployment is effi",Medicine,Social Media,ERRO,High,classification; classification,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,age; race; sex; ethnicity; gender,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US8O1,"As a content strategist, I want insights from aggression detection to inform policy updates, so the platform can proacti",Finance & Marketing,Social Media,ERRO,High,data summarization,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,age; gender; geography; race; sex,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US9O1,"As a marketer, I want to ensure that aggressive or harmful content does not appear alongside advertisements, so brand sa",Finance & Marketing,Social Media,ERRO,High,data summarization,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,age; gender; geography; race; sex,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
A3US10O1,"As a cybersecurity analyst, I want the system to detect and report coordinated aggressive campaigns, so I can mitigate l",Biology,Social Media,ERRO,High,classification,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,,race; gender; political leaning; religion; textual references to people and their demographics; age; geography
