id,User Story,refair_domain,refair_ml_tasks,refair_features,refair_features_por_task,ml_task_vazio,erro
A1US6O1,as a commuter i want the av to handle driving tasks autonomously so that i can use my travel time productively,Transportation,graph augmentation,race,graph augmentation: race,Não,
A1US7O1,as an environmental advocate i want the av to reduce emissions through ai optimized routes so that it contributes to a cleaner environment,Transportation,anomaly detection; classification; data summarization; graph mining; representation learning,race; geography,"anomaly detection: race | classification: geography, race | data summarization: geography, race | graph mining: geography | representation learning: geography, race",Não,
A1US8O1,as a software engineer i want the av to efficiently process large scale sensor data using ai and iot so that it makes informed decisions quickly,Information Systems,classification; data summarization,age; geography; race; sex; gender; skin tone; textual references to people and their demographics,"classification: age, geography, race, sex, gender, skin tone, textual references to people and their demographics | data summarization: age, gender, geography, race, sex, skin tone",Não,
A1US9O1,as a business strategist i want to leverage ai and iot in avs to explore new market opportunities so that the company can expand its revenue streams,Finance & Marketing,advertising; anomaly detection; classification; clustering; data summarization; pricing; representation learning,gender; geography; race; age; sex,"advertising: gender, geography, race | anomaly detection: age, gender, race, sex | classification: age, geography, race, sex, gender | clustering: age, gender, geography, race, sex | data summarization: age, gender, geography, race, sex | pricing: age, gender, geography | representation learning: age, gender, geography, race, sex",Não,
A1US10O1,as a network administrator i want the av to maintain low latency connectivity through iot so that it can communicate effectively for safe operations,Computer Networks,anomaly detection; bias detection in language models; classification; machine translation; regression; representation learning; sentiment analysis; subset selection,,anomaly detection: — | bias detection in language models: — | classification: — | machine translation: — | regression: — | representation learning: — | sentiment analysis: — | subset selection: —,Não,
A2US1Ge,as a parent i want a device that can track my child's physical activity and potentially identify aggressive episodes so that i can intervene and provide support,Pediatrics,risk assessment,age (maternal); ethnicity; race,"risk assessment: age (maternal), ethnicity, race",Não,
A2US2Ge,as a teacher i want a tool that can discreetly monitor student activity levels in the classroom and alert me to potential aggression so that i can de escalate situations before they escalate,Education,classification; ranking; regression,age; geography; race; sex; ethnicity; family wealth; gender; birth category; financial status,"classification: age, geography, race, sex, ethnicity, family wealth, gender | ranking: age, birth category, gender, geography, race, sex | regression: age, ethnicity, financial status, gender, geography, race, sex",Não,
A2US3Ge,as a therapist working with aggressive children i want objective data on their physical activity patterns to track progress in anger management and de escalation techniques,Psychology,classification,age; geography; ethnicity; gender,"classification: age, geography, ethnicity, gender",Não,
A2US4Ge,as a researcher studying childhood aggression i want access to a non invasive method for collecting real time data on physical aggression in children so that i can better understand its triggers and consequences,Psychology,classification,age; geography; ethnicity; gender,"classification: age, geography, ethnicity, gender",Não,
A2US5Ge,as a school administrator i want a system that helps identify students at risk of aggressive behavior so that i can implement targeted interventions and create a safer learning environment,Education,classification; ranking; regression; representation learning; risk assessment,age; geography; race; sex; ethnicity; family wealth; gender; birth category; financial status,"classification: age, geography, race, sex, ethnicity, family wealth, gender | ranking: age, birth category, gender, geography, race, sex | regression: age, ethnicity, financial status, gender, geography, race, sex | representation learning: age, ethnicity, financial status, gender, geography, race, sex | risk assessment: age, ethnicity, gender, geography, race",Não,
A2US6Ge,as a child with a history of aggression i want a wearable device that helps me and my parents monitor my activity levels and receive alerts when aggressive behavior might be escalating,Pediatrics,classification; machine translation; other; regression; resource allocation; sentiment analysis; speech recognition,race; ethnicity,"classification: race, ethnicity | machine translation: — | other: — | regression: ethnicity, race | resource allocation: race | sentiment analysis: race | speech recognition: —",Não,
A2US7Ge,as a healthcare provider working with children with adhd i want a tool that can differentiate between adhd related hyperactivity and physical aggression so that i can provide the most appropriate treatment,Psychology,classification,age; geography; ethnicity; gender,"classification: age, geography, ethnicity, gender",Não,
A2US8Ge,as a developer of wearable technology for children i want to integrate machine learning models for aggression detection into my devices to provide parents and educators with additional insights into children's behavior,Pediatrics,advertising; anomaly detection; bias detection in language models; classification; clustering; graph augmentation; graph mining; machine translation; pricing; regression; representation learning; sentiment analysis,race; ethnicity,"advertising: race | anomaly detection: race | bias detection in language models: race, ethnicity | classification: race, ethnicity | clustering: ethnicity, race | graph augmentation: race | graph mining: — | machine translation: — | pricing: — | regression: ethnicity, race | representation learning: ethnicity, race | sentiment analysis: race",Não,
A2US9Ge,as a data privacy advocate i want assurances that any wearable device used for aggression detection collects data securely and protects children's privacy,Pediatrics,anomaly detection; bias detection in language models; classification; machine translation; sentiment analysis; speech recognition,race; ethnicity,"anomaly detection: race | bias detection in language models: race, ethnicity | classification: race, ethnicity | machine translation: — | sentiment analysis: race | speech recognition: —",Não,
A2US10Ge,as a policymaker i want to explore the potential of wearable based aggression detection for early intervention programs and violence prevention initiatives in schools and childcare settings,Pediatrics,advertising; anomaly detection; bias detection in language models; entity resolution; graph mining; pricing; sentiment analysis,race; ethnicity,"advertising: race | anomaly detection: race | bias detection in language models: race, ethnicity | entity resolution: — | graph mining: — | pricing: — | sentiment analysis: race",Não,
A2US1Ll,as a researcher i want to develop an objective method to track physical aggressive incidents in children so that i can identify early warning signs and provide timely interventions,Pediatrics,anomaly detection; bias detection in language models; bias detection in word embeddings; classification; clustering; entity resolution; machine translation; pricing; ranking; regression; representation learning; resource allocation; sentiment analysis; speech recognition,race; ethnicity,"anomaly detection: race | bias detection in language models: race, ethnicity | bias detection in word embeddings: race | classification: race, ethnicity | clustering: ethnicity, race | entity resolution: — | machine translation: — | pricing: — | ranking: race | regression: ethnicity, race | representation learning: ethnicity, race | resource allocation: race | sentiment analysis: race | speech recognition: —",Não,
A2US2Ll,as a parent i want to know if my child is experiencing aggressive episodes so that i can provide support and guidance to help them manage their emotions and behaviors,Pediatrics,anomaly detection; classification; graph augmentation; graph mining; matching; other; ranking; regression; representation learning,race; ethnicity,"anomaly detection: race | classification: race, ethnicity | graph augmentation: race | graph mining: — | matching: race | other: — | ranking: race | regression: ethnicity, race | representation learning: ethnicity, race",Não,
A2US3Ll,as a clinician i want to use wearable sensor derived physical activity data to identify patterns that distinguish physical aggressive incidents in children so that i can develop targeted treatments and interventions,Pediatrics,anomaly detection; bias detection in language models; bias detection in word embeddings; classification; clustering; machine translation; ranking; regression; representation learning; sentiment analysis; speech recognition,race; ethnicity,"anomaly detection: race | bias detection in language models: race, ethnicity | bias detection in word embeddings: race | classification: race, ethnicity | clustering: ethnicity, race | machine translation: — | ranking: race | regression: ethnicity, race | representation learning: ethnicity, race | sentiment analysis: race | speech recognition: —",Não,
A2US4Ll,as a data analyst i want to apply machine learning techniques e g random forest to analyze physical activity data and identify physical aggressive incidents with high precision and accuracy so that i can contribute to the development of an objective detection method,Computer Vision,anomaly detection; classification; clustering; representation learning,age; gender; race; skin tone; geography; disability; skin type; skin color,"anomaly detection: age, gender, race, skin tone | classification: age, geography, race, disability, gender, skin tone, skin type | clustering: age, gender, geography, race | representation learning: age, gender, geography, race, skin color, skin tone",Não,
A2US5Ll,as a researcher i want to collect demographic anthropometric and clinical data from participants to better understand the context and contributing factors of physical aggressive incidents in children so that i can develop a more comprehensive understanding of the phenomenon,Psychology,classification,age; geography; ethnicity; gender,"classification: age, geography, ethnicity, gender",Não,
A2US6Ll,as a developer i want to design a wearable device e g waist worn activity monitor that can track physical activity data in children and transmit it to a remote server for analysis so that i can enable remote monitoring and detection of physical aggressive incidents,Transportation,graph augmentation; matching; regression,race; geography,"graph augmentation: race | matching: geography, race | regression: geography, race",Não,
A2US7Ll,as a parent i want to receive alerts and notifications when my child experiences a physical aggressive incident so that i can provide immediate support and guidance,Pediatrics,anomaly detection; classification; data summarization; graph mining; matching; other; ranking; regression; representation learning; sentiment analysis,race; ethnicity,"anomaly detection: race | classification: race, ethnicity | data summarization: race | graph mining: — | matching: race | other: — | ranking: race | regression: ethnicity, race | representation learning: ethnicity, race | sentiment analysis: race",Não,
A2US8Ll,as a researcher i want to investigate the effectiveness of the machine learning model in distinguishing physical aggression epochs from non aggression epochs so that i can refine and improve the detection algorithm,Biology,classification,,classification: —,Não,
A2US9Ll,as a clinician i want to use the sensor derived feature of vector magnitude faster triaxial acceleration to identify early warning signs of physical aggressive incidents in children so that i can develop targeted interventions and prevention strategies,Pediatrics,anomaly detection; bias detection in language models; classification; pricing; regression; sentiment analysis,race; ethnicity,"anomaly detection: race | bias detection in language models: race, ethnicity | classification: race, ethnicity | pricing: — | regression: ethnicity, race | sentiment analysis: race",Não,
A2US10Ll,as a system designer i want to design a scalable and efficient system for remotely detecting and managing aggressive incidents in children so that i can enable widespread adoption and improve the lives of children and their families,Pediatrics,anomaly detection; bias detection in language models; bias detection in word embeddings; graph mining; machine translation; other; ranking; representation learning; sentiment analysis; speech recognition; subset selection,race; ethnicity,"anomaly detection: race | bias detection in language models: race, ethnicity | bias detection in word embeddings: race | graph mining: — | machine translation: — | other: — | ranking: race | representation learning: ethnicity, race | sentiment analysis: race | speech recognition: — | subset selection: ethnicity, race",Não,
A2US1O1,as a parent i want to receive real time alerts when my child shows aggressive behavior so i can intervene immediately,Pediatrics,risk assessment,age (maternal); ethnicity; race,"risk assessment: age (maternal), ethnicity, race",Não,
A2US2O1,as a teacher i want daily reports on students' aggression levels from wearable sensors so i can implement effective classroom strategies,Education,classification; ranking; regression; representation learning,age; geography; race; sex; ethnicity; family wealth; gender; birth category; financial status,"classification: age, geography, race, sex, ethnicity, family wealth, gender | ranking: age, birth category, gender, geography, race, sex | regression: age, ethnicity, financial status, gender, geography, race, sex | representation learning: age, ethnicity, financial status, gender, geography, race, sex",Não,
A2US3O1,as a clinician i want access to detailed logs of a child's aggressive incidents so i can create personalized intervention plans,Pediatrics,classification; regression; sentiment analysis,race; ethnicity,"classification: race, ethnicity | regression: ethnicity, race | sentiment analysis: race",Não,
A2US4O1,as a researcher i want to analyze aggregated sensor data from multiple participants so i can study the triggers of aggression in children,Social Work,classification; machine translation; sentiment analysis,age; geography; race; sex; ethnicity; gender; sexual orientation,"classification: age, geography, race, sex, ethnicity, gender, sexual orientation | machine translation: gender | sentiment analysis: race, sex",Não,
A2US5O1,as a school administrator i want to monitor overall aggression data across the school so i can develop policies to enhance safety,Education,classification; regression,age; geography; race; sex; ethnicity; family wealth; gender; financial status,"classification: age, geography, race, sex, ethnicity, family wealth, gender | regression: age, ethnicity, financial status, gender, geography, race, sex",Não,
A2US6O1,as a child with adhd i want to wear a comfortable activity monitor so my behavior is tracked without feeling uncomfortable,Pediatrics,bias detection in language models; bias detection in word embeddings; classification; clustering; data summarization; graph mining; machine translation; matching; other; ranking; resource allocation; sentiment analysis,race; ethnicity,"bias detection in language models: race, ethnicity | bias detection in word embeddings: race | classification: race, ethnicity | clustering: ethnicity, race | data summarization: race | graph mining: — | machine translation: — | matching: race | other: — | ranking: race | resource allocation: race | sentiment analysis: race",Não,
A2US7O1,as a data scientist i want the machine learning model to accurately distinguish between aggressive and non aggressive activities so the system reliably identifies true aggression incidents,Information Systems,classification; data summarization; ranking,age; geography; race; sex; gender; skin tone; textual references to people and their demographics; ethnic group; news provider; ownership; tour availability,"classification: age, geography, race, sex, gender, skin tone, textual references to people and their demographics | data summarization: age, gender, geography, race, sex, skin tone | ranking: age, ethnic group, gender, geography, news provider, ownership, race, sex, tour availability",Não,
A2US8O1,as a guardian i want to view trends of my child's aggression incidents over time so i can understand and support their behavioral development,Pediatrics,classification; clustering; regression; sentiment analysis; spatio-temporal process learning,race; ethnicity,"classification: race, ethnicity | clustering: ethnicity, race | regression: ethnicity, race | sentiment analysis: race | spatio-temporal process learning: race",Não,
A2US9O1,as a privacy officer i want all sensor data to be securely stored and access controlled so children's privacy is protected,Library,advertising; anomaly detection; classification; sentiment analysis; speech recognition; task assignment,,advertising: — | anomaly detection: — | classification: — | sentiment analysis: — | speech recognition: — | task assignment: —,Não,
A2US10O1,as a software developer i want to integrate sensor data with existing health management systems so comprehensive support services can be provided seamlessly,Information Systems,classification; data summarization; matching; representation learning,age; geography; race; sex; gender; skin tone; textual references to people and their demographics,"classification: age, geography, race, sex, gender, skin tone, textual references to people and their demographics | data summarization: age, gender, geography, race, sex, skin tone | matching: age, gender, geography, race | representation learning: age, gender, geography, race, sex, skin tone",Não,
A3US1Ge,as a social media platform developer i want a system that can detect aggressive content on my platform in real time so that i can promote a safer and more positive user experience,Social Media,advertising; bias detection in language models; bias detection in word embeddings; classification; ranking; sentiment analysis,gender; geography; race; political leaning; religion; textual references to people and their demographics; age; disability; race/ethnicity; sexual orientation,"advertising: gender, geography, race | bias detection in language models: gender, political leaning, race, religion, textual references to people and their demographics, age, geography | bias detection in word embeddings: race, gender, textual references to people and their demographics | classification: age, geography, race, disability, gender, textual references to people and their demographics, race/ethnicity, religion, sexual orientation | ranking: age, gender, geography, race | sentiment analysis: race",Não,
A3US2Ge,as a content moderator i want a tool that identifies potentially aggressive tweets with high accuracy so that i can prioritize them for review and take appropriate action,Social Media,classification; sentiment analysis,age; geography; race; disability; gender; textual references to people and their demographics; race/ethnicity; religion; sexual orientation,"classification: age, geography, race, disability, gender, textual references to people and their demographics, race/ethnicity, religion, sexual orientation | sentiment analysis: race",Não,
A3US3Ge,as a researcher studying online behavior i want access to a system that detects aggression on twitter in real time so that i can analyze trends and patterns in online discourse,Social Media,bias detection in language models; classification; sentiment analysis,gender; political leaning; race; religion; textual references to people and their demographics; age; geography; disability; race/ethnicity; sexual orientation,"bias detection in language models: gender, political leaning, race, religion, textual references to people and their demographics, age, geography | classification: age, geography, race, disability, gender, textual references to people and their demographics, race/ethnicity, religion, sexual orientation | sentiment analysis: race",Não,
A3US4Ge,as a user who has been targeted by online aggression i want a platform that can flag aggressive messages so that i can avoid them and report the abuse,Social Media,classification; sentiment analysis; speech recognition,age; geography; race; disability; gender; textual references to people and their demographics; race/ethnicity; religion; sexual orientation,"classification: age, geography, race, disability, gender, textual references to people and their demographics, race/ethnicity, religion, sexual orientation | sentiment analysis: race | speech recognition: gender, geography",Não,
A3US5Ge,as a mental health professional i want to identify individuals who exhibit aggressive behavior online so that i can offer them support and resources,Psychology,classification,age; geography; ethnicity; gender,"classification: age, geography, ethnicity, gender",Não,
A3US6Ge,as a brand manager i want a system that can detect aggressive mentions of my brand on twitter so that i can address any negativity and protect our reputation,Social Media,classification; sentiment analysis,age; geography; race; disability; gender; textual references to people and their demographics; race/ethnicity; religion; sexual orientation,"classification: age, geography, race, disability, gender, textual references to people and their demographics, race/ethnicity, religion, sexual orientation | sentiment analysis: race",Não,
A3US7Ge,as a journalist i want a tool that helps me identify potential sources of misinformation and disinformation that are spread through aggressive online behavior,News,anomaly detection; bias detection in language models; classification; regression; sentiment analysis,textual references to people and their demographics; geography,"anomaly detection: — | bias detection in language models: textual references to people and their demographics, geography | classification: geography, textual references to people and their demographics | regression: geography | sentiment analysis: —",Não,
A3US8Ge,as a law enforcement officer i want a system that can detect real time threats of violence or harm made on social media so that i can intervene and prevent potential crimes,Transportation,regression,geography; race,"regression: geography, race",Não,
A3US9Ge,as a developer i want access to the underlying machine learning model and its training data so that i can integrate this real time aggression detection framework into other applications,Information Systems,classification; data summarization; representation learning,age; geography; race; sex; gender; skin tone; textual references to people and their demographics,"classification: age, geography, race, sex, gender, skin tone, textual references to people and their demographics | data summarization: age, gender, geography, race, sex, skin tone | representation learning: age, gender, geography, race, sex, skin tone",Não,
A3US10Ge,as a person concerned about online harassment i want a browser extension or mobile app that filters out potentially aggressive content from my social media feeds so that i can curate a more positive online experience,Social Media,bias detection in language models; bias detection in word embeddings; classification; sentiment analysis,gender; political leaning; race; religion; textual references to people and their demographics; age; geography; disability; race/ethnicity; sexual orientation,"bias detection in language models: gender, political leaning, race, religion, textual references to people and their demographics, age, geography | bias detection in word embeddings: race, gender, textual references to people and their demographics | classification: age, geography, race, disability, gender, textual references to people and their demographics, race/ethnicity, religion, sexual orientation | sentiment analysis: race",Não,
A3US1Ll,as a social media platform administrator i want to detect aggressive behavior on twitter in real time so that i can prevent online harassment and maintain a safe online environment,Social Media,advertising; bias detection in language models; bias detection in word embeddings; classification; ranking; sentiment analysis; speech recognition,gender; geography; race; political leaning; religion; textual references to people and their demographics; age; disability; race/ethnicity; sexual orientation,"advertising: gender, geography, race | bias detection in language models: gender, political leaning, race, religion, textual references to people and their demographics, age, geography | bias detection in word embeddings: race, gender, textual references to people and their demographics | classification: age, geography, race, disability, gender, textual references to people and their demographics, race/ethnicity, religion, sexual orientation | ranking: age, gender, geography, race | sentiment analysis: race | speech recognition: gender, geography",Não,
A3US2Ll,as a data scientist i want to develop a machine learning framework that can adapt to new annotated examples and evolve with changing aggressive behavior on social media so that i can maintain high detection accuracy,Social Media,bias detection in language models; bias detection in word embeddings; classification; sentiment analysis,gender; political leaning; race; religion; textual references to people and their demographics; age; geography; disability; race/ethnicity; sexual orientation,"bias detection in language models: gender, political leaning, race, religion, textual references to people and their demographics, age, geography | bias detection in word embeddings: race, gender, textual references to people and their demographics | classification: age, geography, race, disability, gender, textual references to people and their demographics, race/ethnicity, religion, sexual orientation | sentiment analysis: race",Não,
A3US3Ll,as a researcher i want to compare the performance of our real time framework with traditional batch based machine learning models so that i can demonstrate the effectiveness of our approach,Information Systems,classification,age; geography; race; sex; gender; skin tone; textual references to people and their demographics,"classification: age, geography, race, sex, gender, skin tone, textual references to people and their demographics",Não,
A3US4Ll,as a system administrator i want to deploy our framework on a minimal number of commodity machines so that i can process the entire twitter firehose 778 million tweets per day without excessive resource requirements,Computer Networks,clustering,,clustering: —,Não,
A3US5Ll,as a social media user i want to feel safe online and know that aggressive behavior is being detected and addressed in real time so that i can engage in online conversations without fear of harassment,Social Media,bias detection in language models; classification; sentiment analysis,gender; political leaning; race; religion; textual references to people and their demographics; age; geography; disability; race/ethnicity; sexual orientation,"bias detection in language models: gender, political leaning, race, religion, textual references to people and their demographics, age, geography | classification: age, geography, race, disability, gender, textual references to people and their demographics, race/ethnicity, religion, sexual orientation | sentiment analysis: race",Não,
A3US6Ll,as a content moderator i want to receive alerts and notifications about detected aggressive behavior sarcasm racism and sexism on twitter so that i can take prompt action to remove harmful content,Social Media,classification; sentiment analysis,age; geography; race; disability; gender; textual references to people and their demographics; race/ethnicity; religion; sexual orientation,"classification: age, geography, race, disability, gender, textual references to people and their demographics, race/ethnicity, religion, sexual orientation | sentiment analysis: race",Não,
A3US7Ll,as a developer i want to integrate our real time framework with existing social media platforms so that i can provide a seamless user experience and detect aggressive behavior across different platforms,Social Media,bias detection in language models; bias detection in word embeddings; classification; ranking; sentiment analysis; speech recognition,gender; political leaning; race; religion; textual references to people and their demographics; age; geography; disability; race/ethnicity; sexual orientation,"bias detection in language models: gender, political leaning, race, religion, textual references to people and their demographics, age, geography | bias detection in word embeddings: race, gender, textual references to people and their demographics | classification: age, geography, race, disability, gender, textual references to people and their demographics, race/ethnicity, religion, sexual orientation | ranking: age, gender, geography, race | sentiment analysis: race | speech recognition: gender, geography",Não,
A3US8Ll,as a researcher i want to analyze the performance of our framework on detecting related behaviors such as sarcasm racism and sexism so that i can refine our approach and improve detection accuracy,Sociology,anomaly detection; bias detection in language models; classification; entity resolution; machine translation; representation learning; sentiment analysis,age; gender; race; geography,"anomaly detection: age, gender, race | bias detection in language models: gender, race, age, geography | classification: age, geography, race, gender | entity resolution: geography | machine translation: gender | representation learning: age, gender, geography, race | sentiment analysis: race",Não,
A3US9Ll,as a social media platform administrator i want to use our framework to identify trends and patterns of aggressive behavior on twitter so that i can develop targeted interventions and prevention strategies,Social Media,classification; sentiment analysis,age; geography; race; disability; gender; textual references to people and their demographics; race/ethnicity; religion; sexual orientation,"classification: age, geography, race, disability, gender, textual references to people and their demographics, race/ethnicity, religion, sexual orientation | sentiment analysis: race",Não,
A3US10Ll,as a system designer i want to design a scalable and flexible architecture for our real time framework so that it can easily integrate with new social media platforms and accommodate increasing volumes of user generated content,Social Networks,clustering; data summarization; graph augmentation; graph diffusion,age; ethnicity; gender; geography; sex,"clustering: age, ethnicity, gender, geography, sex | data summarization: age, gender, geography, sex | graph augmentation: gender | graph diffusion: age, ethnicity, gender, geography",Não,
A3US1O1,as a social media moderator i want real time alerts of aggressive tweets so i can promptly address and remove harmful content,Social Media,classification; sentiment analysis,age; geography; race; disability; gender; textual references to people and their demographics; race/ethnicity; religion; sexual orientation,"classification: age, geography, race, disability, gender, textual references to people and their demographics, race/ethnicity, religion, sexual orientation | sentiment analysis: race",Não,
A3US2O1,as a platform administrator i want the aggression detection system to scale efficiently with twitter s data volume so it can handle up to 778 million tweets daily using minimal resources,Social Media,bias detection in language models; bias detection in word embeddings; classification; sentiment analysis; speech recognition,gender; political leaning; race; religion; textual references to people and their demographics; age; geography; disability; race/ethnicity; sexual orientation,"bias detection in language models: gender, political leaning, race, religion, textual references to people and their demographics, age, geography | bias detection in word embeddings: race, gender, textual references to people and their demographics | classification: age, geography, race, disability, gender, textual references to people and their demographics, race/ethnicity, religion, sexual orientation | sentiment analysis: race | speech recognition: gender, geography",Não,
A3US3O1,as a data scientist i want the machine learning classifiers to adapt incrementally with new data so the detection accuracy remains high as aggressive behavior evolves,Biology,classification; graph mining,,classification: — | graph mining: —,Não,
