id,User Story,refair_domain,refair_ml_tasks,refair_features,refair_features_por_task,ml_task_vazio,erro
A2US4Ll,"As a data analyst, I want to apply machine learning techniques (e.g., random forest) to analyze physical activity data and identify physical- aggressive incidents with high precision and accuracy, so that I can contribute to the development of an objective detection method.",Biology,classification; graph mining,,classification: — | graph mining: —,Não,
A2US5Ll,"As a researcher, I want to collect demographic, anthropometric, and clinical data from participants to better understand the context and contributing factors of physical- aggressive incidents in children, so that I can develop a more comprehensive understanding of the phenomenon.",Biology,classification; graph mining,,classification: — | graph mining: —,Não,
A2US6Ll,"As a developer, I want to design a wearable device (e.g., waist-worn activity monitor) that can track physical activity data in children and transmit it to a remote server for analysis, so that I can enable remote monitoring and detection of physical-aggressive incidents.",Movies,data summarization; ranking; representation learning,age; gender,"data summarization: age, gender | ranking: age, gender | representation learning: age, gender",Não,
A2US7Ll,"As a parent, I want to receive alerts and notifications when my child experiences a physical-aggressive incident, so that I can provide immediate support and guidance.",Biology,classification,,classification: —,Não,
A2US8Ll,"As a researcher, I want to investigate the effectiveness of the machine learning model in distinguishing physical aggression epochs from non- aggression epochs, so that I can refine and improve the detection algorithm.",Biology,classification,,classification: —,Não,
A2US9Ll,"As a clinician, I want to use the sensor-derived feature of vector magnitude (faster triaxial acceleration) to identify early warning signs of physical-aggressive incidents in children, so that I can develop targeted interventions and prevention strategies.",Biology,classification,,classification: —,Não,
A2US10Ll,"As a system designer, I want to design a scalable and efficient system for remotely detecting and managing aggressive incidents in children, so that I can enable widespread adoption and improve the lives of children and their families.",Biology,,,,Sim,
A2US1O1,"As a parent, I want to receive real-time alerts when my child shows aggressive behavior, so I can intervene immediately.",Music,,,,Sim,
A2US2O1,"As a teacher, I want daily reports on students' aggression levels from wearable sensors, so I can implement effective classroom strategies.",News,bias detection in word embeddings; clustering; ranking,textual references to people and their demographics; author; geography; news provider,"bias detection in word embeddings: textual references to people and their demographics | clustering: author, geography, textual references to people and their demographics | ranking: geography, news provider",Não,
A2US3O1,"As a clinician, I want access to detailed logs of a child's aggressive incidents, so I can create personalized intervention plans.",Medicine,,,,Sim,
A2US4O1,"As a researcher, I want to analyze aggregated sensor data from multiple participants, so I can study the triggers of aggression in children.",Medicine,,,,Sim,
A2US5O1,"As a school administrator, I want to monitor overall aggression data across the school, so I can develop policies to enhance safety.",Movies,representation learning,age; gender,"representation learning: age, gender",Não,
A2US6O1,"As a child with ADHD, I want to wear a comfortable activity monitor, so my behavior is tracked without feeling uncomfortable.",Health,representation learning,age; ethnicity; gender; geography; sex,"representation learning: age, ethnicity, gender, geography, sex",Não,
A2US7O1,"As a data scientist, I want the machine learning model to accurately distinguish between aggressive and non-aggressive activities, so the system reliably identifies true aggression incidents.",Health,classification; representation learning,age; geography; sex; ethnicity; gender,"classification: age, geography, sex, ethnicity, gender | representation learning: age, ethnicity, gender, geography, sex",Não,
A2US8O1,"As a guardian, I want to view trends of my child's aggression incidents over time, so I can understand and support their behavioral development.",Music,,,,Sim,
A2US9O1,"As a privacy officer, I want all sensor data to be securely stored and access- controlled, so children's privacy is protected.",Medicine,classification; classification,age; race; sex; ethnicity; gender,"classification: age, race, sex, ethnicity, gender",Não,
A2US10O1,"As a software developer, I want to integrate sensor data with existing health management systems, so comprehensive support services can be provided seamlessly",Literature,,,,Sim,
A3US1Ge,"As a social media platform developer, I want a system that can detect aggressive content on my platform in real-time so that I can promote a safer and more positive user experience.",Social Media,bias detection in language models; bias detection in word embeddings; classification; ranking; sentiment analysis; speech recognition,gender; political leaning; race; religion; textual references to people and their demographics; age; geography; disability; race/ethnicity; sexual orientation,"bias detection in language models: gender, political leaning, race, religion, textual references to people and their demographics, age, geography | bias detection in word embeddings: race, gender, textual references to people and their demographics | classification: age, geography, race, disability, gender, textual references to people and their demographics, race/ethnicity, religion, sexual orientation | ranking: age, gender, geography, race | sentiment analysis: race | speech recognition: gender, geography",Não,
A3US2Ge,"As a content moderator, I want a tool that identifies potentially aggressive tweets with high accuracy so that I can prioritize them for review and take appropriate action.",Literature,,,,Sim,
A3US3Ge,"As a researcher studying online behavior, I want access to a system that detects aggression on Twitter in real-time so that I can analyze trends and patterns in online discourse.",Health,,,,Sim,
A3US4Ge,"As a user who has been targeted by online aggression, I want a platform that can flag aggressive messages so that I can avoid them and report the abuse.",Transportation,,,,Sim,
A3US5Ge,"As a mental health professional, I want to identify individuals who exhibit aggressive behavior online so that I can offer them support and resources.",Health,,,,Sim,
A3US6Ge,"As a brand manager, I want a system that can detect aggressive mentions of my brand on Twitter so that I can address any negativity and protect our reputation.",Literature,,,,Sim,
A3US7Ge,"As a journalist, I want a tool that helps me identify potential sources of misinformation and disinformation that are spread through aggressive online behavior.",News,,,,Sim,
A3US8Ge,"As a law enforcement officer, I want a system that can detect real- time threats of violence or harm made on social media so that I can intervene and prevent potential crimes.",Biology,classification; graph mining,,classification: — | graph mining: —,Não,
A3US9Ge,"As a developer, I want access to the underlying machine learning model and its training data so that I can integrate this real-time aggression detection framework into other applications.",Biology,,,,Sim,
A3US10Ge,"As a person concerned about online harassment, I want a browser extension or mobile app that filters out potentially aggressive content from my social media feeds so that I can curate a more positive online experience.",News,bias detection in word embeddings; clustering; ranking,textual references to people and their demographics; author; geography; news provider,"bias detection in word embeddings: textual references to people and their demographics | clustering: author, geography, textual references to people and their demographics | ranking: geography, news provider",Não,
A3US1Ll,"As a social media platform administrator, I want to detect aggressive behavior on Twitter in real-time, so that I can prevent online harassment and maintain a safe online environment.",Social Media,,,,Sim,
A3US2Ll,"As a data scientist, I want to develop a machine learning framework that can adapt to new annotated examples and evolve with changing aggressive behavior on social media, so that I can maintain high detection accuracy.",Biology,classification,,classification: —,Não,
A3US3Ll,"As a researcher, I want to compare the performance of our real-time framework with traditional batch- based machine learning models, so that I can demonstrate the effectiveness of our approach.",Biology,classification,,classification: —,Não,
A3US4Ll,"As a system administrator, I want to deploy our framework on a minimal number of commodity machines, so that I can process the entire Twitter Firehose (778 million tweets per day) without excessive resource requirements.",Biology,,,,Sim,
A3US5Ll,"As a social media user, I want to feel safe online and know that aggressive behavior is being detected and addressed in real- time, so that I can engage in online conversations without fear of harassment.",Social Media,,,,Sim,
A3US6Ll,"As a content moderator, I want to receive alerts and notifications about detected aggressive behavior, sarcasm, racism, and sexism on Twitter, so that I can take prompt action to remove harmful content.",Literature,,,,Sim,
A3US7Ll,"As a developer, I want to integrate our real-time framework with existing social media platforms, so that I can provide a seamless user experience and detect aggressive behavior across different platforms.",Medicine,classification; classification,age; race; sex; ethnicity; gender,"classification: age, race, sex, ethnicity, gender",Não,
A3US8Ll,"As a researcher, I want to analyze the performance of our framework on detecting related behaviors such as sarcasm, racism, and sexism, so that I can refine our approach and improve detection accuracy.",Medicine,,,,Sim,
A3US9Ll,"As a social media platform administrator, I want to use our framework to identify trends and patterns of aggressive behavior on Twitter, so that I can develop targeted interventions and prevention strategies.",Social Media,,,,Sim,
A3US10Ll,"As a system designer, I want to design a scalable and flexible architecture for our real-time framework, so that it can easily integrate with new social media platforms and accommodate increasing volumes of user-generated content.",Law,classification; classification; regression; representation learning,age; geography; race; sex; ethnicity; gender,"classification: age, geography, race, sex, ethnicity, gender | regression: age, ethnicity, gender, geography, race, sex | representation learning: age, ethnicity, gender, geography, race, sex",Não,
A3US1O1,"As a social media moderator, I want real-time alerts of aggressive tweets, so I can promptly address and remove harmful content.",Social Media,bias detection in language models; sentiment analysis,gender; political leaning; race; religion; textual references to people and their demographics; age; geography,"bias detection in language models: gender, political leaning, race, religion, textual references to people and their demographics, age, geography | sentiment analysis: race",Não,
A3US2O1,"As a platform administrator, I want the aggression detection system to scale efficiently with Twitter’s data volume, so it can handle up to 778 million tweets daily using minimal resources.",Literature,,,,Sim,
A3US3O1,"As a data scientist, I want the machine learning classifiers to adapt incrementally with new data, so the detection accuracy remains high as aggressive behavior evolves.",Biology,classification,,classification: —,Não,
A3US4O1,"As a researcher, I want to analyze detected aggression, sarcasm, racism, and sexism in real- time, so I can study trends and patterns in online behavior.",Medicine,,,,Sim,
A3US5O1,"As a user, I want aggressive content to be minimized on my Twitter feed, so my online experience is safer and more positive.",Transportation,,,,Sim,
A3US6O1,"As a compliance officer, I want detailed reports on detected aggressive behavior, so I can ensure the platform adheres to community guidelines and regulations.",Plant Science,clustering,,clustering: —,Não,
A3US7O1,"As a developer, I want the framework to integrate seamlessly with existing Twitter infrastructure, so deployment is efficient and does not disrupt service.",Medicine,classification; classification,age; race; sex; ethnicity; gender,"classification: age, race, sex, ethnicity, gender",Não,
A3US8O1,"As a content strategist, I want insights from aggression detection to inform policy updates, so the platform can proactively manage evolving online threats.",Finance & Marketing,data summarization,age; gender; geography; race; sex,"data summarization: age, gender, geography, race, sex",Não,
A3US9O1,"As a marketer, I want to ensure that aggressive or harmful content does not appear alongside advertisements, so brand safety is maintained on the platform.",Finance & Marketing,data summarization,age; gender; geography; race; sex,"data summarization: age, gender, geography, race, sex",Não,
A3US10O1,"As a cybersecurity analyst, I want the system to detect and report coordinated aggressive campaigns, so I can mitigate large- scale harassment or abuse efforts effectively.",Biology,classification,,classification: —,Não,
A4US1Ge,"As a military leader, I want to leverage AI for improved situational awareness and faster decision- making on the battlefield to gain a tactical advantage.",Health,classification; regression; representation learning,age; geography; sex; ethnicity; gender,"classification: age, geography, sex, ethnicity, gender | regression: age, ethnicity, gender, geography, sex | representation learning: age, ethnicity, gender, geography, sex",Não,
A4US2Ge,"As a cybersecurity expert, I want AI tools that can detect and respond to cyberattacks in real-time, protecting critical infrastructure and national security information.",Biology,classification,,classification: —,Não,
A4US3Ge,"As an intelligence analyst, I want AI to help me analyze vast amounts of data and identify potential threats and emerging conflicts before they escalate.",Education,classification; data summarization; ranking; regression; representation learning,age; geography; race; sex; ethnicity; family wealth; gender; caste; birth category; financial status,"classification: age, geography, race, sex, ethnicity, family wealth, gender | data summarization: age, caste, gender, geography, race, sex | ranking: age, birth category, gender, geography, race, sex | regression: age, ethnicity, financial status, gender, geography, race, sex | representation learning: age, ethnicity, financial status, gender, geography, race, sex",Não,
A4US4Ge,"As a diplomat working on crisis management, I want AI to assist in simulating different scenarios and predicting potential outcomes of international negotiations.",Biology,classification; graph mining,,classification: — | graph mining: —,Não,
A4US5Ge,"As a peacekeeper deployed to a conflict zone, I want AI-powered systems that can translate languages in real-time and help me build trust with local communities.",Biology,,,,Sim,
A4US6Ge,"As a non- proliferation expert, I want AI to analyze data on weapons development and identify potential threats of nuclear or biological weapons proliferation.",Finance & Marketing,data summarization,age; gender; geography; race; sex,"data summarization: age, gender, geography, race, sex",Não,
A4US7Ge,"As a defense contractor, I want to develop AI-powered weapons systems that operate with high precision and minimize civilian casualties.",Finance & Marketing,anomaly detection; classification; classification; data summarization; ranking; representation learning; resource allocation,age; gender; race; sex; geography; activity,"anomaly detection: age, gender, race, sex | classification: age, geography, race, sex, gender | data summarization: age, gender, geography, race, sex | ranking: activity, age, gender, geography, race, sex | representation learning: age, gender, geography, race, sex | resource allocation: age, race, sex, geography",Não,
A4US8Ge,"As a human rights advocate, I want international regulations and ethical guidelines established to prevent the misuse of AI in warfare and ensure accountability for its actions.",Social Networks,clustering; data summarization; graph augmentation; graph diffusion,age; ethnicity; gender; geography; sex,"clustering: age, ethnicity, gender, geography, sex | data summarization: age, gender, geography, sex | graph augmentation: gender | graph diffusion: age, ethnicity, gender, geography",Não,
A4US9Ge,"As a citizen concerned about national security, I want transparency from governments regarding the use of AI in military applications to ensure public trust.",Biology,classification; graph mining,,classification: — | graph mining: —,Não,
A4US10Ge,"As a researcher in international security, I want to collaborate with policymakers and military leaders to develop a framework for responsible and cooperative development of AI for international security purposes.",Medicine,classification; classification,age; race; sex; ethnicity; gender,"classification: age, race, sex, ethnicity, gender",Não,
A4US1Ll,"As a military strategist, I want to understand the transformative impact of AI on international security, so that I can develop effective responses to emerging threats and opportunities.",Biology,,,,Sim,
A4US2Ll,"As a security expert, I want to identify the potential risks and challenges associated with AI in the security environment, so that I can mitigate them through cooperation and collaboration.",Finance & Marketing,anomaly detection; classification; classification; clustering; representation learning,age; gender; race; sex; geography,"anomaly detection: age, gender, race, sex | classification: age, geography, race, sex, gender | clustering: age, gender, geography, race, sex | representation learning: age, gender, geography, race, sex",Não,
A4US3Ll,"As a technologist, I want to design and develop drones that can learn and operate autonomously, using AI and GIS, so that I can enhance military capabilities and decision-making.",Biology,classification; graph mining,,classification: — | graph mining: —,Não,
A4US4Ll,"As a military commander, I want to leverage AI- powered drones for combat and non- combat operations, so that I can gain a tactical advantage on the ground and improve mission success.",Health,classification; regression; representation learning,age; geography; sex; ethnicity; gender,"classification: age, geography, sex, ethnicity, gender | regression: age, ethnicity, gender, geography, sex | representation learning: age, ethnicity, gender, geography, sex",Não,
A4US5Ll,"As a developer, I want to integrate AI, C5IRS, and GIS systems to create a seamless and interoperable platform for drone operations, so that I can enhance situational awareness and decision-making.",Biology,,,,Sim,
A4US6Ll,"As a researcher, I want to investigate the potential of AI- powered drones to transform enterprise functions, mission support, and operations, so that I can identify new opportunities for military advantage.",Biology,,,,Sim,
A4US7Ll,"As a policy-maker, I want to develop cooperative frameworks and guidelines for the responsible development and use of AI-powered drones, so that I can minimize risks and promote ethical behavior.",Finance & Marketing,classification; classification,age; geography; race; sex; gender,"classification: age, geography, race, sex, gender",Não,
A4US8Ll,"As a military planner, I want to design scenarios and exercises that incorporate AI- powered drones, so that I can test and evaluate their effectiveness in various operational contexts.",Biology,classification; graph mining,,classification: — | graph mining: —,Não,
A4US9Ll,"As a trainer, I want to develop training programs that prepare military personnel to work effectively with AI- powered drones, so that I can ensure seamless human- machine collaboration.",Biology,classification; graph mining,,classification: — | graph mining: —,Não,
A4US10Ll,"As a system architect, I want to design and implement an AI- powered drone system that can adapt to changing circumstances and learn from experience, so that I can create a truly autonomous and effective military capability.",Law,classification; classification; clustering; regression; representation learning,age; geography; race; sex; ethnicity; gender,"classification: age, geography, race, sex, ethnicity, gender | clustering: age, ethnicity, gender, geography, race, sex | regression: age, ethnicity, gender, geography, race, sex | representation learning: age, ethnicity, gender, geography, race, sex",Não,
A4US1O1,"As a military commander, I want autonomous drones to conduct reconnaissance missions, so that I can gather real- time intelligence without risking personnel.",Law,classification; classification; ranking; regression; representation learning; resource allocation; spatio-temporal process learning,age; geography; race; sex; ethnicity; gender,"classification: age, geography, race, sex, ethnicity, gender | ranking: age, gender, geography, race, sex | regression: age, ethnicity, gender, geography, race, sex | representation learning: age, ethnicity, gender, geography, race, sex | resource allocation: age, race, sex, geography | spatio-temporal process learning: age, geography, race",Não,
A4US2O1,"As a drone operator, I want AI- driven drones to adapt to changing battlefield conditions, so that missions remain effective under dynamic scenarios.",Biology,classification,,classification: —,Não,
A4US3O1,"As a GIS specialist, I want drones integrated with GIS systems, so that they can utilize geospatial data for precise navigation and targeting.",Biology,classification,,classification: —,Não,
A4US4O1,"As a cybersecurity analyst, I want AI- powered drones to detect and respond to cyber threats autonomously, so that our defense systems remain secure against digital attacks.",Biology,classification,,classification: —,Não,
A4US5O1,"As a logistics coordinator, I want autonomous drones to manage supply deliveries in combat zones, so that frontline units receive necessary resources promptly.",Biology,classification; graph mining,,classification: — | graph mining: —,Não,
A4US6O1,"As a strategic planner, I want drones equipped with AI to analyze and predict enemy movements, so that I can make informed decisions to counteract threats.",Psychology,classification,age; geography; ethnicity; gender,"classification: age, geography, ethnicity, gender",Não,
A4US7O1,"As a communications officer, I want drones to be integrated with C5ISR systems, so that they can seamlessly share information across all command and control networks.",Literature,,,,Sim,
A4US8O1,"As a field commander, I want AI-enabled drones to perform search and rescue operations, so that injured personnel can be located and evacuated swiftly.",Law,classification; classification; ranking; regression; representation learning; resource allocation; spatio-temporal process learning,age; geography; race; sex; ethnicity; gender,"classification: age, geography, race, sex, ethnicity, gender | ranking: age, gender, geography, race, sex | regression: age, ethnicity, gender, geography, race, sex | representation learning: age, ethnicity, gender, geography, race, sex | resource allocation: age, race, sex, geography | spatio-temporal process learning: age, geography, race",Não,
A4US9O1,"As an interoperability coordinator, I want drones from different allied forces to communicate and operate cohesively, so that joint missions are more efficient and effective.",Urban Studies,,,,Sim,
A4US10O1,"As a defense strategist, I want AI- powered drones to learn from each mission, so that their performance improves continuously and adapts to emerging threats.",Finance & Marketing,anomaly detection; classification; classification; representation learning,age; gender; race; sex; geography,"anomaly detection: age, gender, race, sex | classification: age, geography, race, sex, gender | representation learning: age, gender, geography, race, sex",Não,
A5US1Ge,"As a healthcare staff member, I want to efficiently deliver items using the robot to reduce my workload and improve patient care.",Health,,,,Sim,
A5US2Ge,"As a lab technician, I want to easily track the location and status of blood and urine samples using the robot to ensure timely processing.",Biology,classification,,classification: —,Não,
A5US3Ge,"As a nurse, I want to request and receive deliveries from the robot to optimize my time and improve patient care.",Movies,,,,Sim,
A5US4Ge,"As a kitchen staff member, I want to schedule and manage meal deliveries using the robot to streamline kitchen operations.",Computer Networks,,,,Sim,
A5US5Ge,"As a patient, I want to receive my meals promptly and accurately delivered by the robot to enhance my hospital stay.",Music,,,,Sim,
A5US6Ge,"As a resident, I want to have a positive and easy- to-use experience interacting with the delivery robot.",Music,,,,Sim,
A5US7Ge,"As a facility manager, I want to monitor the robot's performance and utilization to optimize its effectiveness and identify areas for improvement.",Literature,,,,Sim,
A5US8Ge,"As a facility manager, I want to ensure the robot operates safely and securely within the facility.",Literature,,,,Sim,
A5US9Ge,"As a facility manager, I want to be able to easily adapt the robot to different areas and tasks within the facility.",Literature,,,,Sim,
A5US10Ge,"As the system, I should be able to navigate the facility autonomously and avoid obstacles.",Sport,,,,Sim,
A5US1Ll,"As a Pathology Laboratory Staff Member, I want to easily and efficiently deliver blood and urine samples using the GoCart robot so that I can reduce my workload and focus on other tasks.",Biology,classification,,classification: —,Não,
A5US2Ll,"As a Residential Care Facility Staff Member, I want to use the GoCart robot to deliver meals to residents quickly and accurately so that I can improve the quality of care and resident satisfaction.",Health,classification; regression; representation learning,age; geography; sex; ethnicity; gender,"classification: age, geography, sex, ethnicity, gender | regression: age, ethnicity, gender, geography, sex | representation learning: age, ethnicity, gender, geography, sex",Não,
A5US3Ll,"As a facility manager, I want to monitor the GoCart robot's activity and receive notifications when it encounters any issues or errors so that I can ensure smooth operations and minimize disruptions.",Literature,ranking,gender,ranking: gender,Não,
A5US4Ll,"As a Healthcare Worker, I want the GoCart robot to be designed with a user-friendly interface and clear instructions so that I can easily use it without extensive training.",Health,,,,Sim,
A5US5Ll,"As a Patient or Resident, I want the GoCart robot to deliver my meals or samples in a timely and efficient manner so that I can receive the care I need without delay.",Finance & Marketing,data summarization,age; gender; geography; race; sex,"data summarization: age, gender, geography, race, sex",Não,
A5US6Ll,"As a Safety and Security Officer, I want the GoCart robot to be equipped with safety features such as collision detection and emergency shutdown so that I can ensure the safety of staff, patients, and residents.",Finance & Marketing,anomaly detection; classification; classification; data summarization,age; gender; race; sex; geography,"anomaly detection: age, gender, race, sex | classification: age, geography, race, sex, gender | data summarization: age, gender, geography, race, sex",Não,
A5US7Ll,"As a IT Support Specialist, I want the GoCart robot to be integrated with our existing systems and infrastructure so that I can easily troubleshoot and maintain the robot.",Movies,representation learning,age; gender,"representation learning: age, gender",Não,
A5US8Ll,"As a Quality Improvement Specialist, I want to analyze data and metrics on the GoCart robot's performance and efficiency so that I can identify areas for improvement and optimize its use.",Biology,classification,,classification: —,Não,
A5US9Ll,"As a Robot Maintenance Technician, I want to easily access and update the GoCart robot's software and firmware so that I can ensure it remains functional and efficient.",Biology,,,,Sim,
A5US10Ll,"As a Healthcare Administrator, I want to evaluate the cost-benefit analysis of implementing GoCart robots in our facilities so that I can make informed decisions about resource allocation and investments in new technology.",Health,classification; regression; representation learning,age; geography; sex; ethnicity; gender,"classification: age, geography, sex, ethnicity, gender | regression: age, ethnicity, gender, geography, sex | representation learning: age, ethnicity, gender, geography, sex",Não,
