id,abstract,abstract_theme,us_num,llm,role_shorten,user_story,equivalent_domain,equivalent_ml_task,equivalent_ml_task_labels,num_ml_task_labels,domain_confidence,mapping_notes
A1US1Ll,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US1,Llama 3.1 70b,researcher,"As a researcher, I want to explore the possibilities of Artificial Intelligence (AI) in enabling the smart industrial revolution, so that I can contribute to the development of innovative solutions for industry 4.0.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US2Ll,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US2,Llama 3.1 70b,engineer,"As an engineer, I want to design and develop Internet of Things (IoT) infrastructure that can collect and process data from various sources, including storage, actuation, sensing, advanced services, and communication technologies, so that I can enable the transformation towards fully smart Autonomous Vehicles (AVs).",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US3Ll,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US3,Llama 3.1 70b,safety expert,"As a safety expert, I want to utilize AI and IoT to reduce the risk of accidents and improve vehicle safety, so that I can minimize the likelihood of human error and ensure a safer driving experience.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US4Ll,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US4,Llama 3.1 70b,driver,"As a driver, I want to benefit from the increased safety and reduced accidents that Autonomous Vehicles (AVs) can provide, so that I can feel more confident and secure on the road.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US5Ll,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US5,Llama 3.1 70b,business owner,"As a business owner, I want to explore the new market opportunities and revenue streams that Autonomous Vehicles (AVs) can offer, so that I can expand my business and stay competitive in the industry.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US6Ll,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US6,Llama 3.1 70b,manager,"As a fleet manager, I want to reduce fuel consumption and emissions by using Autonomous Vehicles (AVs), so that I can minimize my organization's environmental footprint and save on fuel costs.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US7Ll,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US7,Llama 3.1 70b,passenger,"As a passenger, I want to enjoy the increased comfort and convenience of Autonomous Vehicles (AVs), including the release of driver time and business opportunities, so that I can be more productive and relaxed during my journey.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US8Ll,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US8,Llama 3.1 70b,developer,"As a developer, I want to design and develop AI-powered Autonomous Vehicles (AVs) that can process large- scale data from sensors and devices, so that I can create a more efficient and reliable transportation system.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US9Ll,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US9,Llama 3.1 70b,regulator,"As a regulator, I want to ensure that Autonomous Vehicles (AVs) meet the highest safety standards and are tested rigorously to minimize risk, so that I can protect the public and ensure a safe and reliable transportation system.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US10Ll,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US10,Llama 3.1 70b,commuter,"As a commuter, I want to benefit from the reduced traffic congestion and parking needs that Autonomous Vehicles (AVs) can provide, so that I can save time and reduce stress during my daily commute.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US1O1,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US1,O1_mini,passenger,"As a passenger, I want the AV to detect hazards in real-time using AI sensors, so that my safety is ensured.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US2O1,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US2,O1_mini,manager,"As a fleet manager, I want to monitor AV performance data via IoT, so that I can proactively manage maintenance.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US3O1,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US3,O1_mini,driver,"As a driver, I want the AV to predict and prevent collisions using AI, so that accidents are significantly reduced.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US4O1,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US4,O1_mini,executive,"As a transportation executive, I want the AV to optimize fuel consumption with AI, so that operational costs are minimized.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US5O1,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US5,O1_mini,passenger,"As a passenger, I want the AV to navigate autonomously through traffic using AI and IoT, so that my travel is seamless and stress-free.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US6O1,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US6,O1_mini,commuter,"As a commuter, I want the AV to handle driving tasks autonomously, so that I can use my travel time productively.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US7O1,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US7,O1_mini,environmentalist,"As an environmental advocate, I want the AV to reduce emissions through AI-optimized routes, so that it contributes to a cleaner environment.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US8O1,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US8,O1_mini,software engineer,"As a software engineer, I want the AV to efficiently process large-scale sensor data using AI and IoT, so that it makes informed decisions quickly.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US9O1,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US9,O1_mini,strategist,"As a business strategist, I want to leverage AI and IoT in AVs to explore new market opportunities, so that the company can expand its revenue streams.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US10O1,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US10,O1_mini,administrator,"As a network administrator, I want the AV to maintain low- latency connectivity through IoT, so that it can communicate effectively for safe operations.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A2US1Ge,A2,Wearable-based detection of physical aggression in children,US1,Gemini_1.5_flash,parent,"As a parent, I want a device that can track my child's physical activity and potentially identify aggressive episodes so that I can intervene and provide support.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US2Ge,A2,Wearable-based detection of physical aggression in children,US2,Gemini_1.5_flash,teacher,"As a teacher, I want a tool that can discreetly monitor student activity levels in the classroom and alert me to potential aggression so that I can de-escalate situations before they escalate.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US3Ge,A2,Wearable-based detection of physical aggression in children,US3,Gemini_1.5_flash,therapist,"As a therapist working with aggressive children, I want objective data on their physical activity patterns to track progress in anger management and de-escalation techniques.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US4Ge,A2,Wearable-based detection of physical aggression in children,US4,Gemini_1.5_flash,researcher,"As a researcher studying childhood aggression, I want access to a non- invasive method for collecting real-time data on physical aggression in children so that I can better understand its triggers and consequences.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US5Ge,A2,Wearable-based detection of physical aggression in children,US5,Gemini_1.5_flash,administrator,"As a school administrator, I want a system that helps identify students at risk of aggressive behavior so that I can implement targeted interventions and create a safer learning environment.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US6Ge,A2,Wearable-based detection of physical aggression in children,US6,Gemini_1.5_flash,child,"As a child with a history of aggression, I want a wearable device that helps me and my parents monitor my activity levels and receive alerts when aggressive behavior might be escalating.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US7Ge,A2,Wearable-based detection of physical aggression in children,US7,Gemini_1.5_flash,healthcare provider,"As a healthcare provider working with children with ADHD, I want a tool that can differentiate between ADHD- related hyperactivity and physical aggression so that I can provide the most appropriate treatment.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US8Ge,A2,Wearable-based detection of physical aggression in children,US8,Gemini_1.5_flash,developer,"As a developer of wearable technology for children, I want to integrate machine learning models for aggression detection into my devices to provide parents and educators with additional insights into children's behavior.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US9Ge,A2,Wearable-based detection of physical aggression in children,US9,Gemini_1.5_flash,advocate,"As a data privacy advocate, I want assurances that any wearable device used for aggression detection collects data securely and protects children's privacy.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US10Ge,A2,Wearable-based detection of physical aggression in children,US10,Gemini_1.5_flash,policymaker,"As a policymaker, I want to explore the potential of wearable-based aggression detection for early intervention programs and violence prevention initiatives in schools and childcare settings.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US1Ll,A2,Wearable-based detection of physical aggression in children,US1,Llama 3.1 70b,researcher,"As a researcher, I want to develop an objective method to track physical- aggressive incidents in children, so that I can identify early warning signs and provide timely interventions.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US2Ll,A2,Wearable-based detection of physical aggression in children,US2,Llama 3.1 70b,parent,"As a parent, I want to know if my child is experiencing aggressive episodes, so that I can provide support and guidance to help them manage their emotions and behaviors.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US3Ll,A2,Wearable-based detection of physical aggression in children,US3,Llama 3.1 70b,healthcare provider,"As a clinician, I want to use wearable-sensor- derived physical activity data to identify patterns that distinguish physical-aggressive incidents in children, so that I can develop targeted treatments and interventions.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US4Ll,A2,Wearable-based detection of physical aggression in children,US4,Llama 3.1 70b,analyst,"As a data analyst, I want to apply machine learning techniques (e.g., random forest) to analyze physical activity data and identify physical- aggressive incidents with high precision and accuracy, so that I can contribute to the development of an objective detection method.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US5Ll,A2,Wearable-based detection of physical aggression in children,US5,Llama 3.1 70b,researcher,"As a researcher, I want to collect demographic, anthropometric, and clinical data from participants to better understand the context and contributing factors of physical- aggressive incidents in children, so that I can develop a more comprehensive understanding of the phenomenon.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US6Ll,A2,Wearable-based detection of physical aggression in children,US6,Llama 3.1 70b,developer,"As a developer, I want to design a wearable device (e.g., waist-worn activity monitor) that can track physical activity data in children and transmit it to a remote server for analysis, so that I can enable remote monitoring and detection of physical-aggressive incidents.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US7Ll,A2,Wearable-based detection of physical aggression in children,US7,Llama 3.1 70b,parent,"As a parent, I want to receive alerts and notifications when my child experiences a physical-aggressive incident, so that I can provide immediate support and guidance.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US8Ll,A2,Wearable-based detection of physical aggression in children,US8,Llama 3.1 70b,researcher,"As a researcher, I want to investigate the effectiveness of the machine learning model in distinguishing physical aggression epochs from non- aggression epochs, so that I can refine and improve the detection algorithm.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US9Ll,A2,Wearable-based detection of physical aggression in children,US9,Llama 3.1 70b,healthcare provider,"As a clinician, I want to use the sensor-derived feature of vector magnitude (faster triaxial acceleration) to identify early warning signs of physical-aggressive incidents in children, so that I can develop targeted interventions and prevention strategies.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US10Ll,A2,Wearable-based detection of physical aggression in children,US10,Llama 3.1 70b,system designer,"As a system designer, I want to design a scalable and efficient system for remotely detecting and managing aggressive incidents in children, so that I can enable widespread adoption and improve the lives of children and their families.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US1O1,A2,Wearable-based detection of physical aggression in children,US1,O1_mini,parent,"As a parent, I want to receive real-time alerts when my child shows aggressive behavior, so I can intervene immediately.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US2O1,A2,Wearable-based detection of physical aggression in children,US2,O1_mini,teacher,"As a teacher, I want daily reports on students' aggression levels from wearable sensors, so I can implement effective classroom strategies.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US3O1,A2,Wearable-based detection of physical aggression in children,US3,O1_mini,healthcare provider,"As a clinician, I want access to detailed logs of a child's aggressive incidents, so I can create personalized intervention plans.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US4O1,A2,Wearable-based detection of physical aggression in children,US4,O1_mini,researcher,"As a researcher, I want to analyze aggregated sensor data from multiple participants, so I can study the triggers of aggression in children.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US5O1,A2,Wearable-based detection of physical aggression in children,US5,O1_mini,administrator,"As a school administrator, I want to monitor overall aggression data across the school, so I can develop policies to enhance safety.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US6O1,A2,Wearable-based detection of physical aggression in children,US6,O1_mini,child,"As a child with ADHD, I want to wear a comfortable activity monitor, so my behavior is tracked without feeling uncomfortable.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US7O1,A2,Wearable-based detection of physical aggression in children,US7,O1_mini,data scientist,"As a data scientist, I want the machine learning model to accurately distinguish between aggressive and non-aggressive activities, so the system reliably identifies true aggression incidents.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US8O1,A2,Wearable-based detection of physical aggression in children,US8,O1_mini,parent,"As a guardian, I want to view trends of my child's aggression incidents over time, so I can understand and support their behavioral development.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US9O1,A2,Wearable-based detection of physical aggression in children,US9,O1_mini,officer,"As a privacy officer, I want all sensor data to be securely stored and access- controlled, so children's privacy is protected.",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A2US10O1,A2,Wearable-based detection of physical aggression in children,US10,O1_mini,developer,"As a software developer, I want to integrate sensor data with existing health management systems, so comprehensive support services can be provided seamlessly",Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,Alternativa: Pediatrics (populacao infantil).
A3US1Ge,A3,Real-time aggression detection on Twitter,US1,Gemini_1.5_flash,developer,"As a social media platform developer, I want a system that can detect aggressive content on my platform in real-time so that I can promote a safer and more positive user experience.",Social Media,text classification,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,4,High,
A3US2Ge,A3,Real-time aggression detection on Twitter,US2,Gemini_1.5_flash,moderator,"As a content moderator, I want a tool that identifies potentially aggressive tweets with high accuracy so that I can prioritize them for review and take appropriate action.",Social Media,text classification,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,4,High,
A3US3Ge,A3,Real-time aggression detection on Twitter,US3,Gemini_1.5_flash,researcher,"As a researcher studying online behavior, I want access to a system that detects aggression on Twitter in real-time so that I can analyze trends and patterns in online discourse.",Social Media,text classification,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,4,High,
A3US4Ge,A3,Real-time aggression detection on Twitter,US4,Gemini_1.5_flash,user,"As a user who has been targeted by online aggression, I want a platform that can flag aggressive messages so that I can avoid them and report the abuse.",Social Media,text classification,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,4,High,
A3US5Ge,A3,Real-time aggression detection on Twitter,US5,Gemini_1.5_flash,mental health professional,"As a mental health professional, I want to identify individuals who exhibit aggressive behavior online so that I can offer them support and resources.",Social Media,text classification,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,4,High,
A3US6Ge,A3,Real-time aggression detection on Twitter,US6,Gemini_1.5_flash,manager,"As a brand manager, I want a system that can detect aggressive mentions of my brand on Twitter so that I can address any negativity and protect our reputation.",Social Media,text classification,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,4,High,
A3US7Ge,A3,Real-time aggression detection on Twitter,US7,Gemini_1.5_flash,journalist,"As a journalist, I want a tool that helps me identify potential sources of misinformation and disinformation that are spread through aggressive online behavior.",Social Media,text classification,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,4,High,
A3US8Ge,A3,Real-time aggression detection on Twitter,US8,Gemini_1.5_flash,officer,"As a law enforcement officer, I want a system that can detect real- time threats of violence or harm made on social media so that I can intervene and prevent potential crimes.",Social Media,text classification,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,4,High,
A3US9Ge,A3,Real-time aggression detection on Twitter,US9,Gemini_1.5_flash,developer,"As a developer, I want access to the underlying machine learning model and its training data so that I can integrate this real-time aggression detection framework into other applications.",Social Media,text classification,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,4,High,
A3US10Ge,A3,Real-time aggression detection on Twitter,US10,Gemini_1.5_flash,person,"As a person concerned about online harassment, I want a browser extension or mobile app that filters out potentially aggressive content from my social media feeds so that I can curate a more positive online experience.",Social Media,text classification,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,4,High,
A3US1Ll,A3,Real-time aggression detection on Twitter,US1,Llama 3.1 70b,administrator,"As a social media platform administrator, I want to detect aggressive behavior on Twitter in real-time, so that I can prevent online harassment and maintain a safe online environment.",Social Media,text classification,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,4,High,
A3US2Ll,A3,Real-time aggression detection on Twitter,US2,Llama 3.1 70b,data scientist,"As a data scientist, I want to develop a machine learning framework that can adapt to new annotated examples and evolve with changing aggressive behavior on social media, so that I can maintain high detection accuracy.",Social Media,text classification,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,4,High,
