id,User Story,role_shorten,equivalent_domain,equivalent_ml_task,equivalent_ml_task_labels,domain_confidence,sensitive_features_esperados,sensitive_features_por_task,tem_sensitive_features
A1US5Ll,"As a business owner, I want to explore the new market opportunities and revenue streams that Autonomous Vehicles (AVs) can offer, so that I can expand my business and stay competitive in the industry.",business owner,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US6Ll,"As a fleet manager, I want to reduce fuel consumption and emissions by using Autonomous Vehicles (AVs), so that I can minimize my organization's environmental footprint and save on fuel costs.",manager,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US7Ll,"As a passenger, I want to enjoy the increased comfort and convenience of Autonomous Vehicles (AVs), including the release of driver time and business opportunities, so that I can be more productive and relaxed during my journey.",passenger,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US8Ll,"As a developer, I want to design and develop AI-powered Autonomous Vehicles (AVs) that can process large- scale data from sensors and devices, so that I can create a more efficient and reliable transportation system.",developer,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US9Ll,"As a regulator, I want to ensure that Autonomous Vehicles (AVs) meet the highest safety standards and are tested rigorously to minimize risk, so that I can protect the public and ensure a safe and reliable transportation system.",regulator,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US10Ll,"As a commuter, I want to benefit from the reduced traffic congestion and parking needs that Autonomous Vehicles (AVs) can provide, so that I can save time and reduce stress during my daily commute.",commuter,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US1O1,"As a passenger, I want the AV to detect hazards in real-time using AI sensors, so that my safety is ensured.",passenger,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US2O1,"As a fleet manager, I want to monitor AV performance data via IoT, so that I can proactively manage maintenance.",manager,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US3O1,"As a driver, I want the AV to predict and prevent collisions using AI, so that accidents are significantly reduced.",driver,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US4O1,"As a transportation executive, I want the AV to optimize fuel consumption with AI, so that operational costs are minimized.",executive,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US5O1,"As a passenger, I want the AV to navigate autonomously through traffic using AI and IoT, so that my travel is seamless and stress-free.",passenger,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US6O1,"As a commuter, I want the AV to handle driving tasks autonomously, so that I can use my travel time productively.",commuter,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US7O1,"As an environmental advocate, I want the AV to reduce emissions through AI-optimized routes, so that it contributes to a cleaner environment.",environmentalist,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US8O1,"As a software engineer, I want the AV to efficiently process large-scale sensor data using AI and IoT, so that it makes informed decisions quickly.",software engineer,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US9O1,"As a business strategist, I want to leverage AI and IoT in AVs to explore new market opportunities, so that the company can expand its revenue streams.",strategist,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US10O1,"As a network administrator, I want the AV to maintain low- latency connectivity through IoT, so that it can communicate effectively for safe operations.",administrator,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A2US1Ge,"As a parent, I want a device that can track my child's physical activity and potentially identify aggressive episodes so that I can intervene and provide support.",parent,Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Medium,age; geography; ethnicity; gender,"Classification: age, geography, ethnicity, gender | Representation Learning: age, ethnicity, gender, geography | Clustering: age, ethnicity, gender, geography | Anomaly Detection: age, gender | Subset Selection: age, ethnicity, gender, geography",Sim
A2US2Ge,"As a teacher, I want a tool that can discreetly monitor student activity levels in the classroom and alert me to potential aggression so that I can de-escalate situations before they escalate.",teacher,Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Medium,age; geography; ethnicity; gender,"Classification: age, geography, ethnicity, gender | Representation Learning: age, ethnicity, gender, geography | Clustering: age, ethnicity, gender, geography | Anomaly Detection: age, gender | Subset Selection: age, ethnicity, gender, geography",Sim
A2US3Ge,"As a therapist working with aggressive children, I want objective data on their physical activity patterns to track progress in anger management and de-escalation techniques.",therapist,Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Medium,age; geography; ethnicity; gender,"Classification: age, geography, ethnicity, gender | Representation Learning: age, ethnicity, gender, geography | Clustering: age, ethnicity, gender, geography | Anomaly Detection: age, gender | Subset Selection: age, ethnicity, gender, geography",Sim
A2US4Ge,"As a researcher studying childhood aggression, I want access to a non- invasive method for collecting real-time data on physical aggression in children so that I can better understand its triggers and consequences.",researcher,Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Medium,age; geography; ethnicity; gender,"Classification: age, geography, ethnicity, gender | Representation Learning: age, ethnicity, gender, geography | Clustering: age, ethnicity, gender, geography | Anomaly Detection: age, gender | Subset Selection: age, ethnicity, gender, geography",Sim
A2US5Ge,"As a school administrator, I want a system that helps identify students at risk of aggressive behavior so that I can implement targeted interventions and create a safer learning environment.",administrator,Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Medium,age; geography; ethnicity; gender,"Classification: age, geography, ethnicity, gender | Representation Learning: age, ethnicity, gender, geography | Clustering: age, ethnicity, gender, geography | Anomaly Detection: age, gender | Subset Selection: age, ethnicity, gender, geography",Sim
A2US6Ge,"As a child with a history of aggression, I want a wearable device that helps me and my parents monitor my activity levels and receive alerts when aggressive behavior might be escalating.",child,Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Medium,age; geography; ethnicity; gender,"Classification: age, geography, ethnicity, gender | Representation Learning: age, ethnicity, gender, geography | Clustering: age, ethnicity, gender, geography | Anomaly Detection: age, gender | Subset Selection: age, ethnicity, gender, geography",Sim
A2US7Ge,"As a healthcare provider working with children with ADHD, I want a tool that can differentiate between ADHD- related hyperactivity and physical aggression so that I can provide the most appropriate treatment.",healthcare provider,Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Medium,age; geography; ethnicity; gender,"Classification: age, geography, ethnicity, gender | Representation Learning: age, ethnicity, gender, geography | Clustering: age, ethnicity, gender, geography | Anomaly Detection: age, gender | Subset Selection: age, ethnicity, gender, geography",Sim
A2US8Ge,"As a developer of wearable technology for children, I want to integrate machine learning models for aggression detection into my devices to provide parents and educators with additional insights into children's behavior.",developer,Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Medium,age; geography; ethnicity; gender,"Classification: age, geography, ethnicity, gender | Representation Learning: age, ethnicity, gender, geography | Clustering: age, ethnicity, gender, geography | Anomaly Detection: age, gender | Subset Selection: age, ethnicity, gender, geography",Sim
A2US9Ge,"As a data privacy advocate, I want assurances that any wearable device used for aggression detection collects data securely and protects children's privacy.",advocate,Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Medium,age; geography; ethnicity; gender,"Classification: age, geography, ethnicity, gender | Representation Learning: age, ethnicity, gender, geography | Clustering: age, ethnicity, gender, geography | Anomaly Detection: age, gender | Subset Selection: age, ethnicity, gender, geography",Sim
A2US10Ge,"As a policymaker, I want to explore the potential of wearable-based aggression detection for early intervention programs and violence prevention initiatives in schools and childcare settings.",policymaker,Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Medium,age; geography; ethnicity; gender,"Classification: age, geography, ethnicity, gender | Representation Learning: age, ethnicity, gender, geography | Clustering: age, ethnicity, gender, geography | Anomaly Detection: age, gender | Subset Selection: age, ethnicity, gender, geography",Sim
A2US1Ll,"As a researcher, I want to develop an objective method to track physical- aggressive incidents in children, so that I can identify early warning signs and provide timely interventions.",researcher,Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Medium,age; geography; ethnicity; gender,"Classification: age, geography, ethnicity, gender | Representation Learning: age, ethnicity, gender, geography | Clustering: age, ethnicity, gender, geography | Anomaly Detection: age, gender | Subset Selection: age, ethnicity, gender, geography",Sim
A2US2Ll,"As a parent, I want to know if my child is experiencing aggressive episodes, so that I can provide support and guidance to help them manage their emotions and behaviors.",parent,Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Medium,age; geography; ethnicity; gender,"Classification: age, geography, ethnicity, gender | Representation Learning: age, ethnicity, gender, geography | Clustering: age, ethnicity, gender, geography | Anomaly Detection: age, gender | Subset Selection: age, ethnicity, gender, geography",Sim
A2US3Ll,"As a clinician, I want to use wearable-sensor- derived physical activity data to identify patterns that distinguish physical-aggressive incidents in children, so that I can develop targeted treatments and interventions.",healthcare provider,Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Medium,age; geography; ethnicity; gender,"Classification: age, geography, ethnicity, gender | Representation Learning: age, ethnicity, gender, geography | Clustering: age, ethnicity, gender, geography | Anomaly Detection: age, gender | Subset Selection: age, ethnicity, gender, geography",Sim
A2US4Ll,"As a data analyst, I want to apply machine learning techniques (e.g., random forest) to analyze physical activity data and identify physical- aggressive incidents with high precision and accuracy, so that I can contribute to the development of an objective detection method.",analyst,Psychology,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,Medium,age; geography; ethnicity; gender,"Classification: age, geography, ethnicity, gender | Representation Learning: age, ethnicity, gender, geography | Clustering: age, ethnicity, gender, geography | Anomaly Detection: age, gender | Subset Selection: age, ethnicity, gender, geography",Sim
